,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6663,jtzi71zh7X8,202503,indicator_4,0.0,Mq751wBMqGF,Jhansi,Babina,48,389.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6664,l7op2G8Asvm,202503,indicator_4,0.0,Mq751wBMqGF,Jhansi,Badagaon,46,388.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6665,o2TR0og834Q,202503,indicator_4,2.7788805081381502,Mq751wBMqGF,Jhansi,Jhansi (Urban),134,,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6666,yfN8RlEk6Eo,202503,indicator_4,0.0,Mq751wBMqGF,Jhansi,Bamaur,48,384.0,Jhansi Division,165,quality,delivery_care,indicator_4,Still birth ratio,n
6667,CSr734nIeVU,202503,indicator_4,12.76595744680851,N5WWbRtsjWp,Agra,Shamsabad,35,147.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6668,CUTzCqh1nRn,202503,indicator_4,9.339407744874714,N5WWbRtsjWp,Agra,Agra (Urban),424,,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6669,JGBdoOZp18V,202503,indicator_4,4.854368932038835,N5WWbRtsjWp,Agra,Jagner,29,144.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6670,NWLheaE7Ac4,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Khandauli,33,137.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6671,PlRYdgqkTLD,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Jaitpur Kalan,27,151.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6672,PskcWzXXxHt,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Barauli Ahir,43,141.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6673,RjTiJ3wL4Ir,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Bichpuri,34,139.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6674,TNFp3ouQZzy,202503,indicator_4,4.901960784313726,N5WWbRtsjWp,Agra,Bah,35,150.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6675,eV15qufBx79,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Achhnera,37,143.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6676,hO5EeDRnO8S,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Kheragarh,33,145.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6677,iqYgALY5y5A,202503,indicator_4,5.181347150259067,N5WWbRtsjWp,Agra,Akola,29,140.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6678,mqJOhnNW2ce,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Saiyan,28,146.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6679,sGuuKBoA9Rh,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Pinahat,27,149.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6680,tZd8rrGLhlU,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Fatehpur Sikri,33,142.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6681,vKblzOJTuGM,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Fatehabad,36,148.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
6682,xiUPA06ix22,202503,indicator_4,0.0,N5WWbRtsjWp,Agra,Etmadpur,37,138.0,Agra Division,146,quality,delivery_care,indicator_4,Still birth ratio,n
