block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Balrampur,HkZSq61JwqL,p,2023-09-01,Balrampur,uS0pNSxN3sS,,JSY,% JSY Incentive,36,0.1569377990430622,2.0,JSY,2024,844,72
Varanasi Cholapur,HonPmXiTJw7,p,2023-09-01,Varanasi,LeuBT7KfuuA,,JSY,% JSY Incentive,36,0.3057324840764331,2.0,JSY,2024,321,55
Sirthu,HtBQrKnRi8A,p,2023-09-01,Kaushambi,PAj0oVY0Dxu,,JSY,% JSY Incentive,36,0.4397677793904209,2.0,JSY,2024,334,63
Jaitpur,HuW3JM0nGTz,p,2023-09-01,Mahoba,sUQMxIc3yXj,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,61,42
Ravertganj,Hz4rBdA4kWR,p,2023-09-01,Sonbhadra,NNk3JP90QZ5,,JSY,% JSY Incentive,36,0.3839732888146912,2.0,JSY,2024,576,74
Chatra,I0SrxhvmkHK,p,2023-09-01,Sonbhadra,NNk3JP90QZ5,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,142,74
Sant Ravidas Nagar Gyanpur,I13T5ZdIFEi,p,2023-09-01,Bhadohi,PeUY1vj02UQ,,JSY,% JSY Incentive,36,0.10217391304347828,2.0,JSY,2024,864,50
Pahla,I2ZGoBUtTtO,p,2023-09-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.4234875444839858,2.0,JSY,2024,682,60
Dubealiya,I6SfaoTpBWQ,p,2023-09-01,Basti,J1P16zQEOUT,,JSY,% JSY Incentive,36,0.7751937984496124,2.0,JSY,2024,645,71
Muzaffarnagar Jansath,IClJwvvGCfX,p,2023-09-01,Muzaffarnagar,MVQs2RrS1Nw,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,327,17
Pouli,IFHbGZd8LVv,p,2023-09-01,Sant Kabir Nagar,fe1yBApr2sl,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,420,11
Jalaun Mahewa,IG6BUMkoNfw,p,2023-09-01,Jalaun,NL5xiiHZQSC,,JSY,% JSY Incentive,36,0.6644736842105263,2.0,JSY,2024,139,4
